-8.7361e-05,0.00055788,8.7361e-05
-0.00029516,0.001885,0.00029516
-0.00050286,0.003212,0.00050286
-0.00071043,0.0045389,0.00071043
-0.00091778,0.0058656,0.00091778
-0.0011249,0.007192,0.0011249
-0.0013316,0.0085181,0.0013316
-0.001538,0.0098439,0.001538
-0.0017439,0.011169,0.0017439
-0.0019494,0.012494,0.0019494
-0.0021542,0.013819,0.0021542
-0.0023585,0.015142,0.0023585
-0.002562,0.016466,0.002562
-0.0027648,0.017788,0.0027648
-0.0029669,0.01911,0.0029669
-0.003168,0.020431,0.003168
-0.0033682,0.021751,0.0033682
-0.0035675,0.02307,0.0035675
-0.0037657,0.024388,0.0037657
-0.0039629,0.025705,0.0039629
-0.0041589,0.027021,0.0041589
-0.0043537,0.028336,0.0043537
-0.0045473,0.02965,0.0045473
-0.0047395,0.030963,0.0047395
-0.0049304,0.032274,0.0049304
-0.0051199,0.033584,0.0051199
-0.0053079,0.034892,0.0053079
-0.0054944,0.036199,0.0054944
-0.0056793,0.037505,0.0056793
-0.0058626,0.038809,0.0058626
-0.0060442,0.040111,0.0060442
-0.0062241,0.041411,0.0062241
-0.0064022,0.04271,0.0064022
-0.0065785,0.044007,0.0065785
-0.006753,0.045302,0.006753
-0.0069255,0.046596,0.0069255
-0.0070961,0.047887,0.0070961
-0.0072646,0.049176,0.0072646
-0.0074311,0.050463,0.0074311
-0.0075955,0.051749,0.0075955
-0.0077578,0.053031,0.0077578
-0.0079179,0.054312,0.0079179
-0.0080757,0.05559,0.0080757
-0.0082313,0.056866,0.0082313
-0.0083847,0.05814,0.0083847
-0.0085356,0.059411,0.0085356
-0.0086842,0.06068,0.0086842
-0.0088304,0.061946,0.0088304
-0.0089741,0.063209,0.0089741
-0.0091154,0.06447,0.0091154
-0.0092541,0.065728,0.0092541
-0.0093902,0.066983,0.0093902
-0.0095238,0.068235,0.0095238
-0.0096548,0.069485,0.0096548
-0.0097831,0.070731,0.0097831
-0.0099088,0.071975,0.0099088
-0.010032,0.073215,0.010032
-0.010152,0.074452,0.010152
-0.010269,0.075687,0.010269
-0.010384,0.076917,0.010384
-0.010496,0.078145,0.010496
-0.010605,0.079369,0.010605
-0.010711,0.08059,0.010711
-0.010815,0.081807,0.010815
-0.010915,0.083021,0.010915
-0.011013,0.084231,0.011013
-0.011107,0.085438,0.011107
-0.011199,0.086641,0.011199
-0.011288,0.08784,0.011288
-0.011374,0.089036,0.011374
-0.011457,0.090227,0.011457
-0.011536,0.091415,0.011536
-0.011613,0.092598,0.011613
-0.011687,0.093778,0.011687
-0.011758,0.094954,0.011758
-0.011826,0.096125,0.011826
-0.01189,0.097293,0.01189
-0.011952,0.098456,0.011952
-0.012011,0.099614,0.012011
-0.012066,0.10077,0.012066
-0.012119,0.10192,0.012119
-0.012169,0.10306,0.012169
-0.012215,0.10421,0.012215
-0.012259,0.10534,0.012259
-0.012299,0.10647,0.012299
-0.012336,0.1076,0.012336
-0.012371,0.10872,0.012371
-0.012402,0.10984,0.012402
-0.01243,0.11095,0.01243
-0.012456,0.11206,0.012456
-0.012478,0.11316,0.012478
-0.012497,0.11426,0.012497
-0.012513,0.11535,0.012513
-0.012527,0.11644,0.012527
-0.012537,0.11752,0.012537
-0.012545,0.1186,0.012545
-0.012549,0.11967,0.012549
-0.012551,0.12074,0.012551
-0.012549,0.1218,0.012549
-0.012545,0.12285,0.012545
-0.012538,0.1239,0.012538
-0.012528,0.12495,0.012528
-0.012515,0.12598,0.012515
-0.0125,0.12702,0.0125
-0.012482,0.12804,0.012482
-0.012461,0.12906,0.012461
-0.012437,0.13008,0.012437
-0.01241,0.13109,0.01241
-0.012381,0.13209,0.012381
-0.012349,0.13309,0.012349
-0.012315,0.13408,0.012315
-0.012278,0.13506,0.012278
-0.012238,0.13604,0.012238
-0.012196,0.13701,0.012196
-0.012152,0.13797,0.012152
-0.012105,0.13893,0.012105
-0.012055,0.13988,0.012055
-0.012003,0.14083,0.012003
-0.011949,0.14176,0.011949
-0.011892,0.1427,0.011892
-0.011833,0.14362,0.011833
-0.011772,0.14454,0.011772
-0.011708,0.14545,0.011708
-0.011643,0.14635,0.011643
-0.011575,0.14725,0.011575
-0.011505,0.14814,0.011505
-0.011433,0.14902,0.011433
-0.011359,0.14989,0.011359
-0.011282,0.15076,0.011282
-0.011204,0.15162,0.011204
-0.011124,0.15247,0.011124
-0.011042,0.15331,0.011042
-0.010959,0.15415,0.010959
-0.010873,0.15498,0.010873
-0.010786,0.1558,0.010786
-0.010697,0.15661,0.010697
-0.010606,0.15741,0.010606
-0.010514,0.15821,0.010514
-0.01042,0.159,0.01042
-0.010324,0.15978,0.010324
-0.010227,0.16055,0.010227
-0.010129,0.16131,0.010129
-0.010029,0.16206,0.010029
-0.0099277,0.16281,0.0099277
-0.0098251,0.16354,0.0098251
-0.0097213,0.16427,0.0097213
-0.0096162,0.16499,0.0096162
-0.0095099,0.1657,0.0095099
-0.0094025,0.1664,0.0094025
-0.009294,0.16709,0.009294
-0.0091844,0.16777,0.0091844
-0.0090738,0.16844,0.0090738
-0.0089623,0.1691,0.0089623
-0.0088498,0.16976,0.0088498
-0.0087365,0.1704,0.0087365
-0.0086224,0.17103,0.0086224
-0.0085074,0.17166,0.0085074
-0.0083918,0.17227,0.0083918
-0.0082754,0.17287,0.0082754
-0.0081584,0.17346,0.0081584
-0.0080409,0.17405,0.0080409
-0.0079227,0.17462,0.0079227
-0.0078041,0.17518,0.0078041
-0.007685,0.17573,0.007685
-0.0075655,0.17627,0.0075655
-0.0074457,0.17679,0.0074457
-0.0073255,0.17731,0.0073255
-0.007205,0.17782,0.007205
-0.0070844,0.17831,0.0070844
-0.0069635,0.17879,0.0069635
-0.0068425,0.17926,0.0068425
-0.0067213,0.17972,0.0067213
-0.0066001,0.18017,0.0066001
-0.006479,0.1806,0.006479
-0.0063578,0.18102,0.0063578
